n,min_k_for_aggregated_combinations,log_sum_of_combinations_min_k_aggregated_combinations,sum_of_combinations_min_k_aggregated_combinations,min_k,log_combinations_min_k,combinations_min_k,max_k,log_combinations_max_k,combinations_max_k
1,1,0.0,1,1,0.0,1,1,0.0,1
2,2,1.584962500721156,3,2,0.0,1,2,0.0,1
3,3,2.807354922057604,7,3,0.0,1,3,0.0,1
4,4,3.9068905956085187,15,4,0.0,1,4,0.0,1
5,5,4.954196310386875,31,5,0.0,1,5,0.0,1
6,6,5.977279923499917,63,6,0.0,1,6,0.0,1
7,7,6.9886846867721655,127,7,0.0,1,7,0.0,1
8,8,7.994353436858858,255,8,0.0,1,8,0.0,1
9,9,8.997179480937621,511,9,0.0,1,9,0.0,1
10,10,9.99859042974533,1023,10,0.0,1,10,0.0,1
11,11,10.99929538702341,2047,11,0.0,1,11,0.0,1
12,12,11.99964773652837,4095,12,0.0,1,12,0.0,1
13,13,12.999823879015725,8191,13,0.0,1,13,0.0,1
14,14,13.99991194219542,16383,14,0.0,1,14,0.0,1
15,15,14.999955971769559,32767,15,0.0,1,15,0.0,1
16,16,15.999977986052736,65535,16,0.0,1,16,0.0,1
17,17,16.999988993068357,131071,17,0.0,1,17,0.0,1
18,18,17.999994496544677,262143,18,0.0,1,18,0.0,1
19,19,18.999997248274962,524287,19,0.0,1,19,0.0,1
20,20,19.999998624138136,1048575,20,0.0,1,20,0.0,1
21,21,20.99999931206923,2097151,21,0.0,1,21,0.0,1
22,22,21.999999656034657,4194303,22,0.0,1,22,0.0,1
23,23,22.999999828017337,8388607,23,0.0,1,23,0.0,1
24,24,23.999999914008672,16777215,24,0.0,1,24,0.0,1
25,25,24.999999957004338,33554431,25,0.0,1,25,0.0,1
26,26,25.999999978502167,67108863,26,0.0,1,26,0.0,1
27,27,26.999999989251084,134217727,27,0.0,1,27,0.0,1
28,28,27.999999994625544,268435455,28,0.0,1,28,0.0,1
29,29,28.99999999731277,536870911,29,0.0,1,29,0.0,1
30,30,29.999999998656385,1073741823,30,0.0,1,30,0.0,1
31,31,30.999999999328193,2147483647,31,0.0,1,31,0.0,1
32,32,31.999999999664098,4294967295,32,0.0,1,32,0.0,1
33,33,32.99999999983205,8589934591,33,0.0,1,33,0.0,1
34,34,33.99999999991602,17179869183,34,0.0,1,34,0.0,1
35,35,34.999999999958014,34359738367,35,0.0,1,35,0.0,1
36,36,35.999999999979,68719476735,36,0.0,1,36,0.0,1
37,37,36.999999999989505,137438953471,37,0.0,1,37,0.0,1
38,38,37.99999999999475,274877906943,38,0.0,1,38,0.0,1
39,39,38.99999999999738,549755813887,39,0.0,1,39,0.0,1
40,40,39.999999999998685,1099511627775,40,0.0,1,40,0.0,1
41,41,40.999999999999346,2199023255551,41,0.0,1,41,0.0,1
42,42,41.99999999999967,4398046511103,42,0.0,1,42,0.0,1
43,43,42.99999999999984,8796093022207,43,0.0,1,43,0.0,1
44,44,43.999999999999915,17592186044415,44,0.0,1,44,0.0,1
45,45,44.99999999999996,35184372088831,45,0.0,1,45,0.0,1
46,46,45.99999999999998,70368744177663,46,0.0,1,46,0.0,1
47,47,46.99999999999999,140737488355327,47,0.0,1,47,0.0,1
48,48,47.99999999999999,281474976710655,48,0.0,1,48,0.0,1
